Modes	Outlets	Supercatchment	StreamID
785	1520	7	10
1066	1690	7	10
1346	1932	7	10
1498	1979	7	10
2028	2145	7	10
489	1120	7	11
1066	1394	7	11
301	1509	7	11
1282	1530	7	11
301	1509	7	12
511	1640	7	12
930	1785	7	12
1545	1905	7	12
1728	2103	7	12
690	2134	7	12
301	1509	7	13
505	1640	7	13
1129	2074	7	13
664	2133	7	13
1332	2227	7	13
1681	2398	7	13
2376	2569	7	13
301	1509	7	15
505	1640	7	15
660	2133	7	15
1250	2191	7	15
1483	2254	7	15
1794	2432	7	15
1097	4422	7	15
301	1509	7	16
693	1579	7	16
505	1640	7	16
1453	1964	7	16
301	1509	7	17
666	1579	7	17
511	1640	7	17
1518	1783	7	17
1827	1862	7	17
301	1509	7	18
502	1640	7	18
1426	2096	7	18
657	2119	7	18
1853	2150	7	18
301	1509	7	19
511	1640	7	19
664	2119	7	19
1986	2335	7	19
301	1509	7	20
505	1640	7	20
660	2133	7	20
1529	2240	7	20
1919	2383	7	20
2089	2520	7	20
1092	4422	7	20
301	1509	7	21
505	1640	7	21
660	2119	7	21
1607	2195	7	21
1478	2320	7	21
1735	2513	7	21
2222	2875	7	21
2601	3178	7	21
301	1509	7	24
502	1640	7	24
1083	2119	7	24
678	2134	7	24
1470	2320	7	24
1651	2443	7	24
1745	2583	7	24
2519	2753	7	24
301	1509	7	25
502	1640	7	25
653	2119	7	25
1467	2320	7	25
1639	2443	7	25
1920	3344	7	25
2298	3574	7	25
1796	3867	7	25
2672	3889	7	25
3033	3946	7	25
3565	3982	7	25
301	1509	7	26
502	1640	7	26
678	2134	7	26
1976	3153	7	26
2363	3495	7	26
2737	3764	7	26
3759	4035	7	26
1061	4422	7	26
298	1509	7	27
501	1640	7	27
678	2134	7	27
1689	2721	7	27
1811	2897	7	27
2005	4206	7	27
4165	4290	7	27
3321	4315	7	27
1080	4422	7	27
301	1509	7	28
502	1640	7	28
657	2133	7	28
1959	2664	7	28
1681	2721	7	28
2145	2788	7	28
1805	2896	7	28
2418	3153	7	28
2965	3473	7	28
1092	4422	7	28
301	1509	7	29
502	1640	7	29
653	2119	7	29
1467	2320	7	29
1639	2443	7	29
2095	3591	7	29
1796	3867	7	29
3569	3934	7	29
1920	4044	7	29
3659	4137	7	29
