Modes	Outlets	Supercatchment	StreamID
422	1753	1	84
618	1872	1	84
291	2019	1	84
1087	2488	1	84
1495	2745	1	84
2428	3243	1	84
2995	3440	1	84
422	1753	1	85
595	1872	1	85
291	2019	1	85
1087	2488	1	85
1495	2745	1	85
2539	3177	1	85
489	1131	2	2
289	970	2	3
961	1324	2	3
1198	1417	2	3
310	944	2	5
696	1041	2	5
1111	1254	2	5
388	1105	2	6
581	1472	2	6
1306	1624	2	6
1516	1689	2	6
305	820	2	7
413	963	2	7
546	1148	2	7
816	1166	2	7
1153	1377	2	7
972	1401	2	7
1308	1496	2	7
418	678	2	8
531	889	2	8
880	981	2	8
1094	1154	2	8
299	930	2	11
478	1451	2	11
944	1690	2	11
1537	2178	2	11
1887	2406	2	11
2332	2632	2	11
299	930	2	12
429	949	2	12
568	1707	2	12
1391	2328	2	12
1972	2757	2	12
299	931	2	13
692	1372	2	13
416	1449	2	13
1009	1566	2	13
1229	1693	2	13
1466	1831	2	13
299	930	2	14
648	1333	2	14
878	1926	2	14
1677	2096	2	14
2041	2419	2	14
2260	2446	2	14
299	930	2	15
429	949	2	15
731	1812	2	15
1482	1875	2	15
1117	2024	2	15
1605	2117	2	15
299	930	2	16
721	1309	2	16
1186	1727	2	16
1495	1856	2	16
1650	2003	2	16
299	930	2	17
435	949	2	17
852	1805	2	17
1587	1983	2	17
1765	2137	2	17
1889	2156	2	17
299	930	2	18
408	1449	2	18
617	1545	2	18
802	1799	2	18
1064	2072	2	18
1611	2422	2	18
2041	2423	2	18
2375	2640	2	18
299	930	2	19
406	1447	2	19
617	1546	2	19
854	2240	2	19
377	484	3	2
515	637	3	7
650	829	3	7
508	757	3	8
618	837	3	8
450	549	3	9
566	759	3	9
309	445	3	10
519	786	3	10
732	935	3	10
942	1125	3	10
470	809	3	11
383	559	3	12
546	887	3	12
730	989	3	12
882	1323	3	12
363	537	3	13
680	792	3	13
300	443	3	14
529	804	3	14
718	931	3	14
300	443	3	15
497	786	3	15
765	1083	3	15
658	903	3	16
914	1034	3	16
518	831	3	17
738	1059	3	17
597	804	3	18
782	960	3	18
534	755	3	19
905	1040	3	19
584	1279	3	21
740	1447	3	21
1088	1624	3	21
662	1202	3	23
1047	1736	3	23
1689	1966	3	23
1799	2089	3	23
689	1260	3	24
895	1672	3	24
1446	1912	3	24
1561	1971	3	24
1766	2218	3	24
695	1362	3	25
795	1771	3	25
1373	1850	3	25
1503	1922	3	25
1646	2020	3	25
1830	2260	3	25
697	1251	3	26
1044	1491	3	26
720	1327	3	27
929	1708	3	27
1129	1841	3	27
1738	1968	3	27
1974	2176	3	27
707	1925	3	29
1374	2205	3	29
2352	2594	3	29
822	1829	3	30
300	2224	3	30
1409	2265	3	30
1974	2564	3	30
2131	2636	3	30
582	975	3	31
815	1683	3	31
1249	1871	3	31
1699	2020	3	31
569	972	3	32
913	1357	3	32
1219	1505	3	32
1459	1696	3	32
862	1835	3	33
1278	2079	3	33
2125	2229	3	33
711	2389	3	33
832	2195	3	34
299	2224	3	34
1473	2346	3	34
720	2389	3	34
2057	2660	3	34
2495	3016	3	34
695	1494	3	36
827	1614	3	36
1297	1856	3	36
1858	2077	3	36
687	1477	3	37
920	1565	3	37
1155	1852	3	37
1283	1910	3	37
1567	2080	3	37
1747	2172	3	37
1874	2244	3	37
906	2175	3	38
299	2224	3	38
1709	2321	3	38
704	2384	3	38
1816	2465	3	38
947	1773	3	39
1314	2140	3	39
2181	2342	3	39
299	2224	3	40
720	2384	3	40
967	2635	3	40
1910	3013	3	40
1128	1852	3	43
1786	1993	3	43
1970	2071	3	43
1606	2085	3	43
716	2385	3	43
975	2449	3	43
1203	2103	3	45
299	2185	3	45
1499	2360	3	45
1911	2658	3	45
2085	2769	3	45
2209	2995	3	45
2998	3176	3	45
299	2185	3	46
1758	2447	3	46
2118	2837	3	46
299	2224	3	47
704	2385	3	47
1271	2386	3	47
1474	2621	3	47
2152	2938	3	47
2682	3247	3	47
299	2224	3	48
704	2384	3	48
982	2449	3	48
2144	2810	3	48
2627	2988	3	48
299	2224	3	49
1142	2237	3	49
704	2381	3	49
1400	2606	3	49
299	2224	3	50
1149	2238	3	50
1397	2374	3	50
704	2381	3	50
1887	2465	3	50
2099	2727	3	50
299	2224	3	51
1149	2238	3	51
1433	2311	3	51
704	2381	3	51
1689	2635	3	51
2624	3034	3	51
2315	3047	3	51
1402	2052	3	52
299	2224	3	52
1142	2237	3	52
1789	2338	3	52
704	2381	3	52
2072	2601	3	52
299	2224	3	53
1149	2238	3	53
704	2381	3	53
1505	2530	3	53
2175	3016	3	53
1450	1969	3	54
1561	2100	3	54
1142	2237	3	54
704	2381	3	54
1428	2058	3	55
299	2224	3	55
1149	2238	3	55
704	2381	3	55
1888	2753	3	55
2501	3139	3	55
299	2224	3	56
1446	2231	3	56
720	2237	3	56
2116	2447	3	56
1413	1947	3	57
1105	2237	3	57
1860	2269	3	57
716	2381	3	57
2238	2384	3	57
1438	2182	3	58
300	2224	3	58
1128	2237	3	58
714	2381	3	58
299	2224	3	59
1114	2237	3	59
1446	2267	3	59
720	2381	3	59
1777	2506	3	59
2060	2863	3	59
2426	3015	3	59
2952	3241	3	59
299	2224	3	60
1349	2275	3	60
704	2381	3	60
1777	2398	3	60
1175	2948	3	60
1469	2081	3	61
300	2224	3	61
1185	2240	3	61
1803	2344	3	61
740	2385	3	61
299	2224	3	63
704	2384	3	63
1515	2418	3	63
1932	2689	3	63
1115	2805	3	63
2154	2901	3	63
2574	3066	3	63
299	2224	3	65
704	2237	3	65
1560	2673	3	65
1983	2758	3	65
1175	2948	3	65
2467	3007	3	65
2702	3342	3	65
3357	3474	3	65
1537	2100	3	66
299	2224	3	66
1159	2239	3	66
704	2381	3	66
1873	2916	3	66
1561	2135	3	67
300	2224	3	67
1149	2238	3	67
705	2381	3	67
1381	2385	3	67
1924	2452	3	67
2015	2742	3	67
1580	2127	3	68
299	2224	3	68
1149	2238	3	68
704	2381	3	68
1479	2455	3	68
1895	2954	3	68
1583	2126	3	70
299	2224	3	70
1149	2238	3	70
704	2381	3	70
1381	2385	3	70
2026	2460	3	70
2252	2573	3	70
