149,3578
172,3577
200,3577
226,3576
235,3577
277,3577
277,3577
277,3577
329,3577
378,3576
378,3576
426,3576
446,3577
468,3577
505,3577
531,3576
556,3576
578,3576
604,3577
634,3577
654,3577
678,3576
705,3576
736,3576
755,3577
787,3577
811,3576
826,3575
852,3575
852,3575
901,3576
940,3575
966,3575
979,3576
1015,3576
1042,3576
1057,3576
1090,2554
1118,2554
1141,2554
1169,2554
1192,2554
1203,2554
1239,2554
1268,2554
1295,2554
1322,2556
1348,2556
1377,2556
1398,2556
1427,2556
1449,2556
1480,2556
1505,2556
1526,2556
1537,2556
1575,2556
1603,2556
1633,2556
1658,2556
1679,2556
1709,2556
1729,2556
1758,2560
1781,2562
1799,2562
1844,2562
1870,2562
1886,2562
1915,2562
1932,2562
1962,2562
1993,2562
2007,2562
2030,2562
2067,2562
2092,2565
2115,2566
2133,2568
2166,2574
2174,2580
2217,2711
2241,2713
2265,2713
2293,2731
2316,2733
2339,2733
2371,2734
2394,2734
2420,2739
2445,2742
2471,2746
2496,2918
2518,2920
2546,2919
2573,2935
2601,2987
2627,2988
2651,2988
2672,2991
2704,2992
2722,3223
2747,3239
2783,3244
2806,3250
2828,3251
2860,3251
2875,3251
2912,3255
2941,3260
2957,3262
2987,3263
3014,3271
3028,3272
3067,3274
3096,3274
3121,3281
3145,3284
3169,3287
3197,3287
3219,3291
3244,3292
3274,3293
3283,3334
3308,3345
3327,3345
3362,3467
3399,3466
3415,3466
3446,3466
3468,3508
3495,3515
3496,3520
3525,3560
3544,3560
3568,3611
3603,3627
3617,3636
