Modes	Outlets	Supercatchment	StreamID
611	2793	2	72
1765	3516	2	72
3081	3712	2	72
3666	3808	2	72
513	1949	3	6
1370	2062	3	6
653	1685	3	7
1410	1776	3	7
509	1982	3	8
1714	2280	3	8
2006	2409	3	8
2478	2582	3	8
573	1960	3	9
482	2058	3	10
1941	2150	3	10
2184	2265	3	10
482	2058	3	11
2030	2234	3	11
2161	2304	3	11
2295	2432	3	11
482	2058	3	12
2018	2215	3	12
305	511	3	13
406	2353	3	13
2315	2659	3	13
305	511	3	14
406	2353	3	14
2255	2510	3	14
2467	2716	3	14
581	1253	4	4
1031	1417	4	4
635	1140	4	5
1101	1308	4	5
930	1348	4	5
463	1981	4	5
735	1354	4	8
1127	1556	4	8
1262	1624	4	8
1751	1860	4	8
457	1981	4	8
771	1179	4	9
907	1647	4	9
1113	1857	4	9
1551	1954	4	9
457	1981	4	9
864	1459	4	10
1278	1471	4	10
855	1326	4	11
1033	1660	4	11
1336	1846	4	11
655	1908	4	11
293	1838	4	12
636	1896	4	12
846	1576	4	13
1548	1806	4	13
457	1981	4	13
631	1738	4	14
293	1838	4	14
1512	1883	4	14
1715	2061	4	14
1047	1578	4	15
1502	1594	4	15
647	1738	4	15
1124	1762	4	16
293	1870	4	16
1236	1892	4	16
457	1981	4	16
1486	1996	4	16
729	2390	4	16
1190	1519	4	17
293	1870	4	17
457	1981	4	17
1525	2218	4	17
729	2390	4	17
1846	2421	4	17
2394	2539	4	17
632	1738	4	18
1243	1832	4	18
293	1838	4	18
994	1890	4	18
1605	2216	4	18
1707	2545	4	18
2045	2760	4	18
632	1738	4	19
293	1838	4	19
1015	1890	4	19
1323	1950	4	19
1449	2163	4	19
1676	2297	4	19
2254	2456	4	19
293	1870	4	20
457	1981	4	20
1414	2134	4	20
2247	2360	4	20
755	2390	4	20
293	1870	4	21
457	1981	4	21
740	2390	4	21
2287	2583	4	21
293	1870	4	22
457	1981	4	22
1539	2248	4	22
732	2390	4	22
2102	2498	4	22
2415	2646	4	22
632	1738	4	23
293	1838	4	23
1015	1890	4	23
1530	2569	4	23
1970	2663	4	23
1374	2897	4	23
2629	2989	4	23
293	1870	4	25
450	1981	4	25
729	2390	4	25
1697	2424	4	25
1495	2672	4	25
2103	2711	4	25
2264	3143	4	25
2702	3506	4	25
293	1870	4	26
457	1981	4	26
711	2390	4	26
1538	2672	4	26
1839	2672	4	26
2335	2973	4	26
293	1870	4	29
457	1981	4	29
1986	2356	4	29
705	2390	4	29
1495	2672	4	29
2244	2769	4	29
2378	2977	4	29
1711	3153	4	29
2690	3232	4	29
631	1738	4	30
293	1838	4	30
1300	2897	4	30
2640	2981	4	30
1972	3226	4	30
2732	3331	4	30
1846	3345	4	30
2965	3543	4	30
293	1870	4	31
450	1981	4	31
1843	2389	4	31
757	2390	4	31
2274	2599	4	31
1495	2672	4	31
2003	2672	4	31
1724	3154	4	31
293	1870	4	32
450	1981	4	32
1878	2390	4	32
705	2390	4	32
2089	2436	4	32
2193	2659	4	32
1495	2672	4	32
2396	3072	4	32
1724	3154	4	32
3227	3533	4	32
293	1870	4	33
450	1981	4	33
1843	2389	4	33
757	2390	4	33
1495	2672	4	33
2961	3257	4	33
2118	3262	4	33
3071	3429	4	33
629	1738	4	34
293	1838	4	34
1335	2897	4	34
1837	3344	4	34
3318	3541	4	34
629	1738	4	35
293	1838	4	35
1359	2897	4	35
2279	3166	4	35
1846	3345	4	35
293	1870	4	36
450	1981	4	36
757	2390	4	36
1495	2672	4	36
1745	3139	4	36
2915	3253	4	36
3016	3479	4	36
293	1870	4	37
450	1981	4	37
729	2390	4	37
1495	2672	4	37
1724	3154	4	37
2285	3566	4	37
625	1036	5	2
815	1216	5	2
299	1233	5	3
739	1309	5	3
931	1320	5	3
293	1233	5	4
647	1235	5	4
1119	1533	5	4
1415	1593	5	4
293	1233	5	5
700	1329	5	5
1352	1652	5	5
299	1233	5	6
695	1344	5	6
800	1541	5	6
1291	1720	5	6
293	1233	5	7
799	1539	5	7
1016	1614	5	7
1559	2116	5	7
293	1233	5	8
1197	1505	5	8
1323	1753	5	8
1788	2147	5	8
932	3175	5	8
302	1233	5	9
1461	2070	5	9
2049	2374	5	9
941	3175	5	9
302	1233	5	10
932	3175	5	10
2972	3345	5	10
302	1233	5	11
2090	2645	5	11
2497	2940	5	11
941	3175	5	11
2924	3217	5	11
302	1233	5	12
941	3175	5	12
2130	3242	5	12
3162	3315	5	12
302	1233	5	13
809	1541	5	13
2002	2561	5	13
957	3175	5	13
692	1079	6	2
947	1139	6	2
1187	1546	6	2
469	1165	6	3
944	1484	6	3
1244	1726	6	3
538	1360	6	6
1268	1419	6	6
721	1381	6	8
1095	1563	6	8
619	1037	6	9
1085	1487	6	9
706	1516	6	10
1646	1908	6	10
1790	2021	6	10
1933	2114	6	10
756	1585	6	12
260	1793	6	12
1612	2282	6	12
858	1534	6	13
1029	1578	6	13
1319	1766	6	13
1776	1896	6	13
830	1152	6	14
546	1293	6	14
1121	1735	6	14
1456	1747	6	14
501	1293	6	17
862	1531	6	17
1566	2001	6	17
951	1582	6	20
260	1793	6	20
1288	1799	6	20
1801	2415	6	20
1311	1678	6	21
1016	1735	6	21
1501	1767	6	21
260	1793	6	21
805	2247	6	21
260	1793	6	22
1948	2225	6	22
847	2247	6	22
1184	2370	6	22
529	1293	6	23
260	1793	6	23
824	1855	6	23
1188	1952	6	23
260	1750	6	24
1789	2154	6	24
2173	2232	6	24
529	1293	6	25
260	1793	6	25
1270	2104	6	25
1732	2294	6	25
2072	2376	6	25
906	3230	6	25
754	3316	6	25
529	1293	6	26
255	1793	6	26
900	3197	6	26
771	3316	6	26
1862	3330	6	26
3351	3477	6	26
260	1788	6	27
1858	2613	6	27
260	1793	6	28
1318	1962	6	28
1470	2176	6	28
850	2241	6	28
529	1293	6	30
260	1793	6	30
877	1891	6	30
1081	2814	6	30
2154	3106	6	30
529	1293	6	31
260	1793	6	31
877	1891	6	31
1359	1960	6	31
2233	2726	6	31
1081	2825	6	31
1819	2867	6	31
2769	2950	6	31
501	1293	6	32
255	1793	6	32
766	3316	6	32
3280	3490	6	32
260	1793	6	33
823	2241	6	33
1345	2293	6	33
