Modes	Outlets	Supercatchment	StreamID
232	682	6	302
234	369	6	303
453	557	6	303
233	368	6	304
492	625	6	304
230	369	6	305
465	553	6	305
281	675	6	306
241	682	6	307
719	778	6	307
233	368	6	308
254	688	6	309
452	741	6	309
907	1181	6	309
230	368	6	310
260	432	6	312
431	547	6	312
541	679	6	312
294	579	6	313
495	635	6	313
634	747	6	313
363	698	6	314
711	1038	6	314
927	1084	6	314
370	698	6	315
537	786	6	315
801	1083	6	315
230	369	6	317
442	649	6	317
617	953	6	317
1033	1152	6	317
234	370	6	318
313	442	6	319
507	806	6	320
664	880	6	320
893	1028	6	320
313	442	6	321
299	566	6	322
230	369	6	323
524	754	6	323
233	368	6	324
376	474	6	324
230	369	6	325
376	523	6	325
230	369	6	326
376	521	6	326
456	771	6	327
568	848	6	327
696	962	6	327
992	1085	6	327
346	739	6	328
702	883	6	328
840	925	6	328
230	368	6	331
403	501	6	331
230	369	6	332
399	502	6	332
233	368	6	333
405	504	6	333
230	369	6	334
763	1071	6	334
1051	1122	6	334
230	369	6	336
378	474	6	336
491	625	6	336
230	368	6	337
372	474	6	337
513	667	6	337
313	442	6	338
322	442	6	339
446	514	6	339
230	368	6	340
401	527	6	340
230	369	6	341
379	474	6	341
493	586	6	341
230	369	6	344
467	565	6	344
260	456	6	345
486	670	6	345
257	688	6	346
449	732	6	346
433	673	6	347
256	688	6	347
573	712	6	347
310	929	6	348
999	1173	6	348
289	605	6	349
459	702	6	349
276	456	6	350
259	456	6	351
452	589	6	351
615	707	6	351
457	905	6	352
697	1072	6	352
289	1086	6	352
1043	1171	6	352
230	369	6	353
525	642	6	353
230	369	6	354
418	568	6	354
284	456	6	355
443	676	6	355
695	791	6	355
260	456	6	356
454	681	6	356
562	766	6	356
260	456	6	357
553	636	6	357
267	456	6	358
259	456	6	359
452	638	6	359
731	803	6	359
233	368	6	360
374	471	6	360
492	683	6	360
230	369	6	361
380	473	6	361
230	370	6	362
607	699	6	362
289	563	6	363
285	563	6	364
259	456	6	365
453	552	6	365
259	456	6	366
483	751	6	366
264	456	6	367
410	658	6	367
653	736	6	367
462	651	6	369
262	687	6	369
261	996	6	372
978	1091	6	372
383	982	6	373
1007	1140	6	373
1116	1295	6	373
603	957	6	375
391	982	6	375
276	456	6	376
498	770	6	376
257	688	6	377
613	737	6	377
723	819	6	377
363	871	6	377
685	846	6	378
370	1235	6	378
233	368	6	380
430	631	6	380
260	456	6	382
455	578	6	382
621	708	6	382
536	672	6	385
254	688	6	385
365	871	6	385
262	687	6	389
575	770	6	389
374	871	6	389
280	695	6	390
465	768	6	390
649	832	6	390
262	687	6	391
631	766	6	391
374	871	6	391
280	695	6	392
386	871	6	392
570	871	6	392
752	1001	6	392
885	1155	6	392
505	586	6	393
258	688	6	393
606	693	6	393
365	871	6	393
257	688	6	394
681	809	6	394
365	871	6	394
362	871	6	395
679	1025	6	395
811	1106	6	395
286	456	6	396
531	750	6	396
641	816	6	396
746	933	6	396
336	757	6	397
742	876	6	397
576	823	6	398
737	984	6	398
391	1235	6	398
230	369	6	399
417	631	6	399
524	689	6	399
762	902	6	399
256	688	6	400
650	835	6	400
371	872	6	400
919	1053	6	400
446	642	6	401
257	688	6	401
685	826	6	401
444	642	6	402
257	688	6	402
689	1027	6	402
845	1368	6	402
1261	1470	6	402
288	604	6	404
540	651	6	404
684	781	6	404
679	846	6	405
387	1235	6	405
281	695	6	407
546	829	6	407
388	871	6	407
703	1026	6	407
971	1329	6	407
258	688	6	408
609	818	6	408
712	870	6	408
254	688	6	409
508	735	6	409
705	832	6	409
287	601	6	411
287	604	6	412
563	668	6	412
679	735	6	412
257	688	6	413
365	871	6	413
636	905	6	413
880	1065	6	413
1017	1191	6	413
256	688	6	414
629	853	6	414
371	872	6	414
310	949	6	417
581	1081	6	417
1083	1258	6	417
1344	1380	6	417
576	820	6	418
687	931	6	418
388	984	6	418
844	1007	6	418
966	1104	6	418
260	456	6	419
457	578	6	419
625	718	6	419
276	456	6	420
443	578	6	420
733	892	6	420
278	688	6	421
383	871	6	421
590	913	6	421
873	1189	6	421
1027	1362	6	421
1372	1520	6	421
584	938	6	422
257	1016	6	422
894	1160	6	422
258	688	6	423
365	871	6	423
618	938	6	423
336	757	6	424
551	837	6	424
336	757	6	425
546	836	6	425
810	1014	6	425
362	871	6	426
711	873	6	426
306	1064	6	427
595	1141	6	427
930	1264	6	427
1162	1273	6	427
362	871	6	430
599	922	6	430
942	1123	6	430
258	688	6	431
531	836	6	431
365	871	6	431
796	986	6	431
901	1025	6	431
257	688	6	432
229	369	6	435
416	631	6	435
629	843	6	435
