Modes	Outlets	Supercatchment	StreamID
966	1297	3	28
703	1145	3	29
852	1626	3	29
280	1734	3	29
1547	1848	3	29
226	921	3	30
486	1306	3	30
825	1373	3	30
1002	1480	3	30
1528	1732	3	30
542	1118	3	31
879	1531	3	31
1198	1715	3	31
299	1735	3	31
1683	1770	3	31
542	1118	3	32
1007	1430	3	32
1117	1516	3	32
299	1734	3	32
226	921	3	33
724	976	3	33
486	1306	3	33
909	1357	3	33
1107	1674	3	35
279	1734	3	35
511	1796	3	35
1283	2181	3	35
794	2239	3	35
280	1734	3	36
774	2307	3	36
2307	2431	3	36
381	1367	3	37
1229	1554	3	37
924	1630	3	37
279	1734	3	37
947	1651	3	38
274	1734	3	38
1381	1826	3	38
1484	1943	3	38
1739	2178	3	38
279	1734	3	39
1695	2081	3	39
997	1689	3	40
274	1734	3	40
1410	1772	3	40
818	2125	3	40
1006	1677	3	41
279	1734	3	41
1419	2065	3	41
495	2445	3	41
539	1524	3	42
1284	1618	3	42
1448	1722	3	42
279	1734	3	42
384	1367	3	43
1060	1725	3	43
279	1734	3	43
542	1537	3	44
280	1734	3	44
1551	1864	3	44
542	1537	3	45
1120	1703	3	45
280	1734	3	45
1098	1550	3	46
1387	1715	3	46
274	1734	3	46
1493	1818	3	46
816	2125	3	46
432	1368	3	47
1382	1479	3	47
1488	1621	3	47
274	1734	3	47
1164	1584	3	48
277	1734	3	48
1402	1822	3	48
838	2125	3	48
1624	2146	3	48
1849	2355	3	48
2088	2632	3	48
280	1734	3	50
1185	1809	3	50
825	2125	3	50
279	1734	3	51
1341	1780	3	51
1620	2196	3	51
495	2441	3	51
384	1367	3	54
1158	1512	3	54
279	1734	3	54
381	1367	3	55
1154	1549	3	55
279	1734	3	55
1360	2018	3	55
277	1734	3	56
1169	1797	3	56
1806	2129	3	56
279	1734	3	57
1144	1795	3	57
1731	2050	3	57
2073	2181	3	57
274	1734	3	58
1789	2059	3	58
1953	2187	3	58
274	1734	3	59
1769	2174	3	59
277	1734	3	60
1144	1795	3	60
1474	1918	3	60
1630	2149	3	60
1879	2450	3	60
2115	2625	3	60
2600	2704	3	60
274	1734	3	61
1147	1795	3	61
1682	1918	3	61
1886	2444	3	61
2240	2542	3	61
2545	2653	3	61
274	1734	3	62
1631	1990	3	62
816	2125	3	62
1735	2129	3	62
1993	2300	3	62
2149	2456	3	62
274	1734	3	63
816	2114	3	63
2043	2340	3	63
2468	2650	3	63
277	1734	3	64
1709	2042	3	64
1931	2131	3	64
2037	2224	3	64
504	2441	3	64
274	1734	3	65
838	2125	3	65
1658	2361	3	65
2248	2473	3	65
2488	2561	3	65
274	1734	3	66
838	2125	3	66
1685	2363	3	66
1790	2493	3	66
2199	2614	3	66
2466	2678	3	66
277	1734	3	67
495	2441	3	67
2000	2608	3	67
274	1734	3	68
495	2438	3	68
1989	2565	3	68
277	1734	3	69
504	2437	3	69
2280	2447	3	69
274	1734	3	70
504	2437	3	70
2389	2531	3	70
277	1734	3	71
504	2437	3	71
2541	2644	3	71
2307	2671	3	71
277	1734	3	72
495	2437	3	72
2309	2671	3	72
277	1734	3	73
495	2437	3	73
2314	2655	3	73
226	402	4	3
420	524	4	4
376	815	4	6
837	1129	4	6
1040	1233	4	6
226	402	4	12
360	896	4	12
923	1065	4	12
595	723	4	14
350	958	4	15
571	1146	4	15
1119	1298	4	15
399	1328	4	16
1388	1471	4	16
208	402	4	19
377	1066	4	19
650	1189	4	19
226	402	4	20
363	570	4	20
637	960	4	20
208	402	4	21
452	881	4	21
899	1351	4	21
1022	1487	4	21
1422	1639	4	21
208	402	4	22
369	1500	4	22
1147	1586	4	22
1435	1646	4	22
1538	1759	4	22
509	870	4	23
614	1232	4	23
831	1462	4	23
348	1499	4	23
208	402	4	25
309	1464	4	25
573	1941	4	25
855	1981	4	25
1865	2126	4	25
1996	2191	4	25
754	1294	4	26
302	1463	4	26
1113	1662	4	26
1689	1842	4	26
564	1941	4	26
208	402	4	27
367	1544	4	27
208	402	4	28
374	1544	4	28
1478	1759	4	28
208	402	4	29
309	1464	4	29
541	1940	4	29
1639	2561	4	29
208	402	4	30
339	1506	4	30
545	1919	4	30
1826	2285	4	30
2107	2355	4	30
